N,P,K,temperature,humidity,ph,month,season,soil_type,region,label
84.3,35.78,105.42,28.9,59.99,7.74,5,summer,alluvial,east_delta,tomato_summer
82.72,20.06,46.72,29.95,74.19,7.8,8,summer,clayey_delta,north_delta,rice
87.11,28.08,73.65,20.42,71.61,7.8,3,permanent,alluvial,north_delta,mint
44.34,15.29,79.43,31.35,51.27,7.56,7,summer,sandy,east_delta,watermelon
41.75,19.82,78.85,32.2,40.12,7.65,6,summer,sandy,upper_egypt,watermelon
20.97,28.67,29.5,20.01,44.37,7.78,10,winter,calcareous,new_lands,cumin
53.71,33.1,39.93,17.8,52.65,8.13,11,winter,clayey_delta,south_delta,sugar_beet
56.65,22.49,45.37,27.64,55.06,7.81,6,summer,alluvial,upper_egypt,basil
103.56,38.23,140.45,26.57,69.56,7.71,4,permanent,loamy_clay,middle_egypt,banana
21.17,15.37,44.09,26.66,46.93,8.0,9,permanent,reclaimed,sinai_north,olive
41.67,17.46,68.02,24.06,53.0,7.94,2,permanent,loamy_clay,west_delta,pomegranate
39.22,34.8,43.93,19.62,53.15,8.01,11,winter,loamy_clay,south_delta,sugar_beet
75.5,35.01,96.52,22.57,60.36,7.86,10,winter,loamy_clay,middle_egypt,tomato_winter
50.56,26.91,50.24,26.22,60.13,7.87,5,summer,alluvial,middle_egypt,basil
79.95,36.79,122.08,22.88,55.22,8.13,3,summer,clayey_delta,north_delta,tomato_summer
31.2,19.2,40.06,16.84,54.4,8.0,3,winter,alluvial,middle_egypt,coriander
13.42,17.0,8.6,18.06,63.24,8.07,4,winter,clayey_delta,north_delta,berseem
87.72,21.98,59.65,23.58,74.84,8.14,11,permanent,clayey_delta,north_delta,mint
42.45,15.7,64.08,28.82,47.3,7.92,6,permanent,calcareous,west_delta,pomegranate
93.0,32.75,58.19,24.15,68.59,7.95,11,permanent,alluvial,north_delta,mint
83.16,25.73,78.67,30.06,61.38,7.97,8,summer,clayey_delta,north_delta,cotton
61.43,27.9,101.18,25.15,53.24,8.14,4,permanent,reclaimed,sinai_north,grapes
14.84,25.36,19.91,15.3,47.17,7.83,12,winter,reclaimed,middle_egypt,lentil
98.77,21.01,53.07,27.54,75.43,7.87,6,summer,clayey_delta,north_delta,rice
66.93,26.98,75.06,16.24,59.15,7.78,3,winter,alluvial,middle_egypt,cabbage
91.04,25.66,96.76,23.08,64.19,7.97,11,permanent,reclaimed,west_delta,citrus
35.63,22.56,17.05,17.24,58.74,7.88,3,winter,alluvial,north_delta,coriander
60.09,24.49,62.3,17.26,56.94,8.06,11,winter,loamy_clay,middle_egypt,garlic
41.38,22.92,67.79,27.14,40.27,8.0,10,permanent,calcareous,new_lands,pomegranate
28.04,26.71,36.21,19.21,56.24,8.03,4,winter,loamy_clay,south_delta,faba_bean
64.89,28.96,101.8,23.55,48.77,7.77,2,permanent,reclaimed,new_lands,grapes
65.73,25.27,64.65,27.62,57.94,7.64,6,summer,alluvial,south_delta,pepper
32.07,12.84,61.21,23.96,48.7,7.97,5,permanent,calcareous,west_delta,olive
31.97,13.54,41.8,19.58,51.63,7.97,3,winter,reclaimed,sinai_north,barley
49.84,29.27,42.5,19.31,62.28,7.95,11,winter,calcareous,west_delta,sugar_beet
89.38,18.24,90.71,30.62,55.19,7.92,9,summer,alluvial,east_delta,eggplant
86.0,27.47,65.16,28.31,48.76,8.1,4,summer,loamy_clay,middle_egypt,cotton
19.89,19.72,15.48,15.55,56.47,8.3,4,winter,clayey_delta,south_delta,berseem
50.29,24.89,64.4,19.95,55.82,7.98,3,winter,clayey_delta,north_delta,onion
64.81,20.95,87.3,29.96,49.16,7.87,3,permanent,reclaimed,aswan,mango
73.96,39.58,122.84,20.42,62.45,7.82,1,winter,alluvial,south_delta,potato
92.32,19.99,81.72,30.63,45.02,7.8,6,permanent,loamy_clay,upper_egypt,citrus
36.05,17.99,29.52,16.7,59.42,7.75,12,winter,loamy_clay,west_delta,coriander
78.18,45.3,131.03,21.22,60.35,7.71,10,winter,alluvial,south_delta,potato
80.4,22.36,86.74,27.9,51.12,7.55,12,permanent,sandy,aswan,mango
104.74,37.14,151.34,25.22,60.0,7.78,3,permanent,loamy_clay,upper_egypt,banana
115.16,32.29,153.44,27.34,67.74,7.87,10,permanent,alluvial,middle_egypt,banana
26.82,27.83,38.19,15.6,62.55,8.24,2,winter,clayey_delta,north_delta,faba_bean
63.9,25.92,45.77,17.34,55.44,8.02,4,winter,alluvial,south_delta,onion
114.34,23.43,27.01,30.14,47.41,7.9,5,summer,loamy_clay,upper_egypt,maize
102.3,21.89,45.4,29.89,65.37,7.79,7,summer,alluvial,south_delta,rice
84.26,43.68,106.02,30.58,55.9,7.76,7,summer,alluvial,middle_egypt,tomato_summer
102.44,26.44,64.24,25.0,68.64,8.1,11,permanent,clayey_delta,south_delta,mint
51.25,20.89,69.28,18.96,55.52,8.0,11,winter,alluvial,south_delta,garlic
94.21,24.48,99.17,24.19,59.45,7.92,6,permanent,reclaimed,west_delta,citrus
71.45,22.67,26.75,19.95,49.21,7.77,4,winter,loamy_clay,upper_egypt,wheat
104.98,37.08,150.05,27.75,60.0,7.75,5,permanent,loamy_clay,upper_egypt,banana
57.1,19.49,72.76,32.26,48.26,7.67,8,permanent,sandy,aswan,mango
53.84,18.24,41.46,22.97,60.96,7.93,4,summer,alluvial,east_delta,basil
42.76,8.58,62.32,31.18,38.02,7.73,11,permanent,sandy,upper_egypt,date_palm
66.54,26.05,51.96,24.32,66.63,7.81,4,summer,clayey_delta,north_delta,pepper
35.63,24.05,27.65,19.87,49.59,8.1,11,winter,calcareous,west_delta,cumin
83.92,25.13,40.31,30.18,58.59,7.71,8,summer,loamy_clay,south_delta,maize
17.06,19.49,30.78,18.78,43.99,7.86,4,winter,reclaimed,new_lands,lentil
37.78,11.86,31.46,19.52,61.77,7.79,11,winter,loamy_clay,west_delta,coriander
23.56,27.74,44.84,17.16,64.45,7.86,3,winter,alluvial,north_delta,faba_bean
37.92,16.89,33.9,13.77,48.35,7.99,1,winter,calcareous,sinai_north,barley
39.06,21.27,30.25,21.53,51.52,7.97,12,winter,loamy_clay,west_delta,cumin
